hub,campus,operator,metric,value,unit,period,source_type,source_url,note
company-wide (all regions),all VNET data centers,VNET Group (NASDAQ: VNET),under_construction_mw,585,MW,2026-06-30,"6-K / quarterly results press release (Q2 2026, 2026-08-18)",https://www.prnewswire.com/news-releases/vnet-reports-unaudited-second-quarter-2026-financial-results-302853949.html,wholesale capacity under construction
company-wide (all regions),all VNET data centers,VNET Group (NASDAQ: VNET),committed_mw,970,MW,2026-06-30,"6-K / quarterly results press release (Q2 2026, 2026-08-18)",https://www.prnewswire.com/news-releases/vnet-reports-unaudited-second-quarter-2026-financial-results-302853949.html,"total committed capacity, 96.3% commitment rate"
company-wide (all regions),all VNET data centers,VNET Group (NASDAQ: VNET),cabinets_in_service,50081,cabinets,2026-06-30,"6-K / quarterly results press release (Q2 2026, 2026-08-18)",https://www.prnewswire.com/news-releases/vnet-reports-unaudited-second-quarter-2026-financial-results-302853949.html,"retail cabinets in service; 32,314 utilized; 64.5% utilization"
company-wide (all regions),all VNET data centers,VNET Group (NASDAQ: VNET),order_wins_mw,862,MW,2026-06-30,"6-K / quarterly results press release (Q2 2026, 2026-08-18)",https://www.prnewswire.com/news-releases/vnet-reports-unaudited-second-quarter-2026-financial-results-302853949.html,wholesale order wins year-to-date incl. 345 MW from a cloud provider in Q2 2026; locations not disclosed in release
company-wide (all regions),all VNET data centers,VNET Group (NASDAQ: VNET),land_bank_mw,908,MW,2026-06-30,"6-K / quarterly results press release (Q2 2026, 2026-08-18)",https://www.prnewswire.com/news-releases/vnet-reports-unaudited-second-quarter-2026-financial-results-302853949.html,land bank capacity added in Q2 2026 in Chinese mainland (plus 478 MW overseas); total capacity reserves >4 GW; locations not disclosed
company-wide (all regions),all VNET data centers,VNET Group (NASDAQ: VNET),it_capacity_mw,573,MW,2025-03-31,"company website news release (Q1 2025 results, Chinese, 2025-05-28)",https://www.vnet.com/portal/article/index/cid/14/id/1007.html,"基地型 (wholesale) capacity in service, +88 MW QoQ"
company-wide (all regions),all VNET data centers,VNET Group (NASDAQ: VNET),capacity_utilized_mw,437,MW,2025-03-31,"company website news release (Q1 2025 results, Chinese, 2025-05-28)",https://www.vnet.com/portal/article/index/cid/14/id/1007.html,wholesale capacity utilized (+84 MW QoQ)
company-wide (all regions),all VNET data centers,VNET Group (NASDAQ: VNET),under_construction_mw,377,MW,2025-03-31,"company website news release (Q1 2025 results, Chinese, 2025-05-28)",https://www.vnet.com/portal/article/index/cid/14/id/1007.html,"wholesale under construction, 81.6% pre-committed, to be delivered within 12 months"
company-wide (all regions),all VNET data centers,VNET Group (NASDAQ: VNET),cabinets_in_service,51960,cabinets,2025-03-31,"company website news release (Q1 2025 results, Chinese, 2025-05-28)",https://www.vnet.com/portal/article/index/cid/14/id/1007.html,retail cabinets; utilization 63.7%
"Inner Mongolia hub (Ulanqab, outside Horinger cluster proper)",VNET Ulanqab campus (乌兰察布),VNET Group (NASDAQ: VNET),pue_target,1.2,PUE,2025-05-28,"company website news release (Q1 2025 results, Chinese)",https://www.vnet.com/portal/article/index/cid/14/id/1007.html,"Ulanqab 'compute-power/electricity coordinated near-zero-carbon data center demonstration project' (源网荷储一体化): target PUE <1.2, 50% direct green power, 100% green via trading; selected for NDRC 2025 green low-carbon demonstration list (2nd batch). No MW figure given for Ulanqab in any VNET filing fetched"
company-wide (all regions),all GDS China data centers,GDS Holdings (NASDAQ: GDS),area_sqm,668283,sqm,2025-12-31,"6-K / quarterly results press release (Q4 & FY2025, 2026-03-17)",https://www.globenewswire.com/news-release/2026/03/17/3257009/0/en/gds-holdings-limited-reports-fourth-quarter-and-full-year-2025-results.html,"area in service (net floor area); 613,583 sqm at 2024-12-31. GDS discloses only aggregate area metrics; no city/campus breakdown in results releases"
company-wide (all regions),all GDS China data centers,GDS Holdings (NASDAQ: GDS),area_utilized_sqm,504843,sqm,2025-12-31,"6-K / quarterly results press release (Q4 & FY2025, 2026-03-17)",https://www.globenewswire.com/news-release/2026/03/17/3257009/0/en/gds-holdings-limited-reports-fourth-quarter-and-full-year-2025-results.html,area utilized. GDS discloses only aggregate area metrics; no city/campus breakdown in results releases
company-wide (all regions),all GDS China data centers,GDS Holdings (NASDAQ: GDS),utilisation_pct,75.5,%,2025-12-31,"6-K / quarterly results press release (Q4 & FY2025, 2026-03-17)",https://www.globenewswire.com/news-release/2026/03/17/3257009/0/en/gds-holdings-limited-reports-fourth-quarter-and-full-year-2025-results.html,area utilized / area in service (73.8% at 2024-12-31). GDS discloses only aggregate area metrics; no city/campus breakdown in results releases
company-wide (all regions),all GDS China data centers,GDS Holdings (NASDAQ: GDS),area_under_construction_sqm,73994,sqm,2025-12-31,"6-K / quarterly results press release (Q4 & FY2025, 2026-03-17)",https://www.globenewswire.com/news-release/2026/03/17/3257009/0/en/gds-holdings-limited-reports-fourth-quarter-and-full-year-2025-results.html,"area under construction, 66.1% pre-committed. GDS discloses only aggregate area metrics; no city/campus breakdown in results releases"
company-wide (all regions),all GDS China data centers,GDS Holdings (NASDAQ: GDS),area_committed_sqm,670106,sqm,2025-12-31,"6-K / quarterly results press release (Q4 & FY2025, 2026-03-17)",https://www.globenewswire.com/news-release/2026/03/17/3257009/0/en/gds-holdings-limited-reports-fourth-quarter-and-full-year-2025-results.html,area committed + pre-committed; commitment rate of area in service 93.0%. GDS discloses only aggregate area metrics; no city/campus breakdown in results releases
company-wide (all regions),all GDS China data centers,GDS Holdings (NASDAQ: GDS),narrative,n/a,,FY2025,"SEC 20-F (FY2025, filed 2026-04-29)",https://www.sec.gov/Archives/edgar/data/1526125/000110465926051006/gds-20251231x20f.htm,"20-F names 'new growth markets' Inner Mongolia, Ningxia and Shaoguan (all national hubs) for big-cluster deployments, and three data centers in Zhangjiakou, Hebei serving one customer since 2018; the word 'Ulanqab' does not appear and no per-campus MW/sqm table is given"
"Inner Mongolia hub (Ulanqab, outside Horinger cluster proper)",GDS Ulanqab data center phase 1 (集宁区察哈尔工业园区),GDS Holdings (NASDAQ: GDS),land_area_mu,125,mu,2023-07-18,company press release (Chinese website),https://www.gds-services.com/zh_cn/newsshow_243.html,"Phase 1: ~110,000 sqm total building area, 4 independent DC buildings + substation/office/generator buildings; 5 buildings topped out; delivery planned no later than 2025; designated a National Integrated Computing Network hub-node project; no IT MW disclosed"
"Inner Mongolia hub (Ulanqab, outside Horinger cluster proper)",GDS Ulanqab data center phase 1 (集宁区察哈尔工业园区),GDS Holdings (NASDAQ: GDS),area_sqm,110000,sqm,2023-07-18,company press release (Chinese website),https://www.gds-services.com/zh_cn/newsshow_243.html,"gross building area (总建筑面积), phase 1, under construction at the time; not net floor area in service"
company-wide (all regions),all Chindata hyperscale data centers,"Chindata Group (NASDAQ: CD, delisted 2023)",it_capacity_mw,613,MW,2022-12-31,"SEC 20-F (FY2022, filed 2023-04-28)",https://www.sec.gov/Archives/edgar/data/1807192/000095017023015950/cd-20221231.htm,capacity in service; hyperscale = 98% of it. Last 20-F before Bain take-private
Beijing-Tianjin-Hebei hub (Zhangjiakou cluster),Chindata Zhangjiakou / Huailai campuses (张家口 怀来),"Chindata Group (NASDAQ: CD, delisted 2023)",it_capacity_mw,324,MW,2022-12-31,"SEC 20-F (FY2022, filed 2023-04-28)",https://www.sec.gov/Archives/edgar/data/1807192/000095017023015950/cd-20221231.htm,'total capacity' in Zhangjiakou city (designated cluster of the Beijing-Tianjin-Hebei hub) — includes in-service + under-construction; 20-F body gives no per-campus utilization
"Shanxi (Datong, outside the 8 hubs)",Chindata Datong campus (大同),"Chindata Group (NASDAQ: CD, delisted 2023)",it_capacity_mw,308,MW,2022-12-31,"SEC 20-F (FY2022, filed 2023-04-28)",https://www.sec.gov/Archives/edgar/data/1807192/000095017023015950/cd-20221231.htm,"'total capacity' owned in Datong, Shanxi (not a national hub cluster); included for context"
Gansu hub (Qingyang cluster),Chindata Qingyang campus (庆阳) — planned,"Chindata Group (NASDAQ: CD, delisted 2023)",planned_capacity_mw,150,MW,2023-02-22,"SEC 20-F (FY2022, filed 2023-04-28)",https://www.sec.gov/Archives/edgar/data/1807192/000095017023015950/cd-20221231.htm,"strategic cooperation agreement signed with Qingyang government at cluster opening ceremony 2023-02-22; 150 MW campus planned over 2–4 years; design/plan, not in service"
company-wide (all regions),all Chindata hyperscale data centers,"Chindata Group (NASDAQ: CD, delisted 2023)",it_capacity_mw,730,MW,2023-06-30,"6-K / quarterly results press release (Q2 FY2023, 2023-08-31; last public quarter)",https://www.globenewswire.com/news-release/2023/08/31/2735129/0/en/Chindata-Group-Reports-Fiscal-Year-2023-Second-Quarter-and-Half-Year-Unaudited-Financial-Results.html,total capacity in service (27 in-service projects); total capacity incl. under construction 945 MW
company-wide (all regions),all Chindata hyperscale data centers,"Chindata Group (NASDAQ: CD, delisted 2023)",under_construction_mw,214,MW,2023-06-30,"6-K / quarterly results press release (Q2 FY2023, 2023-08-31; last public quarter)",https://www.globenewswire.com/news-release/2023/08/31/2735129/0/en/Chindata-Group-Reports-Fiscal-Year-2023-Second-Quarter-and-Half-Year-Unaudited-Financial-Results.html,capacity under construction
company-wide (all regions),all Chindata hyperscale data centers,"Chindata Group (NASDAQ: CD, delisted 2023)",capacity_utilized_mw,585,MW,2023-06-30,"6-K / quarterly results press release (Q2 FY2023, 2023-08-31; last public quarter)",https://www.globenewswire.com/news-release/2023/08/31/2735129/0/en/Chindata-Group-Reports-Fiscal-Year-2023-Second-Quarter-and-Half-Year-Unaudited-Financial-Results.html,utilized capacity
company-wide (all regions),all Chindata hyperscale data centers,"Chindata Group (NASDAQ: CD, delisted 2023)",utilisation_pct,80,%,2023-06-30,"6-K / quarterly results press release (Q2 FY2023, 2023-08-31; last public quarter)",https://www.globenewswire.com/news-release/2023/08/31/2735129/0/en/Chindata-Group-Reports-Fiscal-Year-2023-Second-Quarter-and-Half-Year-Unaudited-Financial-Results.html,utilized / in service; contracted+IoI ratio 95% of in-service capacity
Beijing-Tianjin-Hebei hub (Zhangjiakou cluster),Chindata Greater Beijing Area (Huailai/Zhangjiakou campuses + Datong),"Chindata Group (NASDAQ: CD, delisted 2023)",capacity_utilized_mw,489,MW,2023-06-30,6-K / quarterly results press release (Q2 FY2023),https://www.globenewswire.com/news-release/2023/08/31/2735129/0/en/Chindata-Group-Reports-Fiscal-Year-2023-Second-Quarter-and-Half-Year-Unaudited-Financial-Results.html,Greater Beijing Area utilized capacity = 83% of group utilized; Greater Beijing total capacity 722 MW (76% of group). Greater Beijing includes Huailai (Zhangjiakou) AND Datong (Shanxi) campuses — not separable from this release
Beijing-Tianjin-Hebei hub (Zhangjiakou cluster),Chindata Huailai 'four campuses in one city' (怀来),"Chindata Group (NASDAQ: CD, delisted 2023)",it_capacity_mw,300,MW,2023-06-30,6-K / quarterly results press release (Q2 FY2023),https://www.globenewswire.com/news-release/2023/08/31/2735129/0/en/Chindata-Group-Reports-Fiscal-Year-2023-Second-Quarter-and-Half-Year-Unaudited-Financial-Results.html,"'over 300 MW' operational IT capacity in Huailai County per company narrative; CN23 (26 MW, Zhangjiakou) new project for 2025Q1 delivery; Datong CN20 added 91 MW in service"
company-wide (all regions),"all Sinnet data centers (Beijing, Yanjiao/Hebei, Tianjin, Shanghai, Hangzhou, Changsha)",Beijing Sinnet Technology (SZ: 300383),cabinets_in_service,92000,cabinets (4.4 kW equiv.),2026-06-30,"annual/half-year report (2026 H1, Chinese, cninfo)",https://static.cninfo.com.cn/finalpage/2026-08-27/1225510324.PDF,"已投产机柜约9.2万个 at 4.4 kW/cabinet equivalent (~405 MW IT equiv.); ~10,000 added in H1 2026; planned scale >230,000 cabinets. NONE of Sinnet's sites are in a national hub cluster; report says it has 'intelligent computing centre expansion plans' in Inner Mongolia, Hainan and Malaysia (no figures). Sinnet operates the AWS China (Beijing) region only — AWS China (Ningxia) at Zhongwei is operated by NWCD (西云数据), not Sinnet. Overall utilisation not given numerically (narrative: ~60% per press Q&A, unverified)"
Beijing-Tianjin-Hebei hub (Zhangjiakou cluster),"Alibaba Zhangbei campus (张北: 庙滩, 小二台, 中都 etc.)",Alibaba Group / Alibaba Cloud,servers_in_service,380000,servers,2021-04-02,"press (Xinhua Economic Information Daily 经济参考网), not a company filing",http://www.jjckb.cn/2021-04/02/c_139854619.htm,"'38万台以上' servers; 5 projects operational (庙滩云联, 小二台数据港, 庙滩二期, 小二台万国数据, 中都数据港) + 2 under construction; 1,647 mu total across 7 projects; >50% wind/solar; target >1 million servers. Alibaba itself does not disclose Zhangbei racks/MW in its 20-F or ESG reports"
Beijing-Tianjin-Hebei hub (Zhangjiakou cluster),Alibaba Zhangbei campus (张北),Alibaba Group / Alibaba Cloud,pue,1.25,PUE (design annual avg),2016-09-26,company blog (Alibaba Cloud developer community),https://developer.aliyun.com/article/60956,"design annual-average PUE 1.25, minimum 1.13; two data centers; ~15 days/yr of compressor cooling; no capacity figures"
Beijing-Tianjin-Hebei hub (Zhangjiakou cluster),Alibaba Zhangbei campus (张北),Alibaba Group / Alibaba Cloud,narrative,n/a,,2022-03-28,company blog (Alibaba Cloud),https://www.alibabacloud.com/blog/how-alibaba-cloud-data-centers-will-reach-100%25-clean-energy-by-2030_598748,Zhangbei uses liquid cooling + heat-pump heat recovery; green power certificate (Beijing Power Exchange) 2021; Alibaba Cloud bought ~269 GWh clean energy in 2021; Ulanqab site free-air cooled 10 months/yr; no capacity or utilisation figures
Guizhou hub (Gui'an cluster),Tencent Gui'an Qixing data center (贵安七星),Tencent,servers_planned,300000,servers,"undated article (c.2022, East-Data-West-Computing launch coverage)",press (财联社 cls.cn) quoting Tencent,https://www.cls.cn/detail/943127,"planned capacity 300,000 servers; ~470,000 sqm land; >30,000 sqm tunnel area; phase 1 trial operation 2018-05-29; Tencent self-built DC fleet average PUE <=1.25. No racks/MW/utilisation disclosed by Tencent"
Chengdu-Chongqing hub (Chongqing cluster),Tencent Chongqing data center (两江 水土),Tencent,servers_planned,300000,servers,undated article (c.2022),press (财联社 cls.cn) quoting Tencent,https://www.cls.cn/detail/943127,"phase 1 100,000 servers operational since 2018-06; phase 2 200,000 servers, 107 mu, 74,000 sqm building, started 2020-04 (T-Block). No MW/utilisation"
Beijing-Tianjin-Hebei hub (Zhangjiakou cluster),Tencent Huailai data centers (怀来 瑞北 / 东园),Tencent,servers_planned,600000,servers,undated article (c.2022),press (财联社 cls.cn) quoting Tencent,https://www.cls.cn/detail/943127,">300,000 servers planned at each of two Huailai sites, partially operational"
Guizhou hub (Gui'an cluster),Huawei Cloud Gui'an data center (贵安 七星湖),Huawei Cloud,servers_planned,1000000,servers,2021-12-21,press (C114) reporting Huawei's opening announcement,https://m.c114.com.cn/w126-1183443.html,'future >1 million servers'; PUE 1.12; Huawei's largest cloud DC when complete; commercial opening Dec 2021; current in-service count not disclosed
Guizhou hub (Gui'an cluster),Huawei Cloud Gui'an data center (贵安 七星湖),Huawei Cloud,area_sqm,480000,sqm,2023-06-20,industry media compilation (中国IDC圈 via Sohu),https://www.sohu.com/a/687610191_210640,"phase 1 building area ~480,000 sqm, built; 1,000,000 servers planned"
Guizhou hub (Gui'an cluster),China Telecom Gui'an cloud data center (中国电信 贵安),China Telecom,racks,50000,racks,2023-06-20,industry media compilation (中国IDC圈 via Sohu),https://www.sohu.com/a/687610191_210640,"50,000 racks / 800,000 servers / 340,000 sqm / RMB 7 bn, status 'built' — planned-scale figures compiled by IDC圈, not from China Telecom's annual report"
Guizhou hub (Gui'an cluster),China Unicom Gui'an cloud data center (中国联通 贵安) phase 1,China Unicom,racks,72000,racks,2023-06-20,industry media compilation (中国IDC圈 via Sohu),https://www.sohu.com/a/687610191_210640,"72,000 racks / 1,000,000 servers / 320,000 sqm / RMB 6 bn, 'built'; phase 2 ~4,000 racks under construction. Planned-scale, not utilisation"
Guizhou hub (Gui'an cluster),China Mobile Gui'an data center (中国移动 贵安),China Mobile,racks,20000,racks,2023-06-20,industry media compilation (中国IDC圈 via Sohu),https://www.sohu.com/a/687610191_210640,"'20,000+' racks; phase 3 (45,000 sqm, RMB 9 bn) under construction"
Guizhou hub (Gui'an cluster),"Apple iCloud China (Gui'an) data center, operated by GCBD 云上贵州",Guizhou-Cloud Big Data (GCBD) / Apple,land_area_mu,2500,mu,2019-04-28,"park committee (Gui'an New Area government site, investment-project page)",https://www.gaxq.gov.cn/zsyz_34948/zsyzxmjcyjs_34949/201904/t20190428_2445981.html,"USD 1 bn planned investment, ~2,500 mu over 7 plots, 100% renewable power, operator 云上贵州; no racks/servers/MW disclosed. IDC圈 compilation lists it as built May 2021"
Guizhou hub (Gui'an cluster),Gui'an New Area — all data centers,Gui'an New Area administrative committee (via press),racks_planned,450000,racks,2023-08-23,park committee statements quoted in press (China Daily),https://cn.chinadaily.com.cn/a/202308/23/WS64e5590da3109d7585e4a5b4.html,"21 data centers built/under construction/planned; 450,000 standard racks planned; 4.29 m servers planned; quoted officials: 王嶒 (Gui'an deputy director), 张权 (Big Data bureau)"
Guizhou hub (Gui'an cluster),Gui'an New Area — all data centers,Gui'an New Area administrative committee (via press),servers_in_service,645000,servers,2023-08-23,park committee statements quoted in press (China Daily),https://cn.chinadaily.com.cn/a/202308/23/WS64e5590da3109d7585e4a5b4.html,'servers currently operational 64.5万台' — park self-report; implies ~15% of planned server capacity
Guizhou hub (Gui'an cluster),Gui'an New Area — all data centers,Gui'an New Area administrative committee (via press),dc_count,23,data centers,2024-12-31,park committee statements quoted in press (Tencent News),https://news.qq.com/rain/a/20250102A03Z7A00,"23 data/intelligent-computing centres introduced cumulatively; Guiyang-Gui'an computing power >53 EFLOPS (>95% AI); quoted 张敏, Gui'an Big Data & Sci-Tech Innovation Bureau"
Ningxia hub (Zhongwei cluster),China Mobile (Ningxia Zhongwei) data center phase 1 (中国移动 中卫),China Mobile,racks_planned,55000,racks,2025-03-25,press (Securities Times 证券时报) quoting operator/park,https://stcn.com/article/detail/1606256.html,"phase 1: 200 mu, 55,000 standard racks planned; phase 2: 200 mu, 150,000+ racks planned (>80% AI compute)"
Ningxia hub (Zhongwei cluster),China Mobile (Ningxia Zhongwei) data center phase 1 (中国移动 中卫),China Mobile,racks_in_service,20000,racks,2025-03-25,press (Securities Times 证券时报) quoting operator/park,https://stcn.com/article/detail/1606256.html,"'~20,000 racks in production'"
Ningxia hub (Zhongwei cluster),China Mobile (Ningxia Zhongwei) data center phase 1 (中国移动 中卫),China Mobile,utilisation_pct,99.8,%,2025-03-25,press (Securities Times 证券时报) quoting operator/park,https://stcn.com/article/detail/1606256.html,"上架率 >99.8% on in-service racks — press claim, not in China Mobile's annual report"
Ningxia hub (Zhongwei cluster),China Unicom Zhongwei cloud data center (中国联通 中卫),China Unicom,it_capacity_mw,310,MW,2025-03-25,press (Securities Times 证券时报) quoting operator/park,https://stcn.com/article/detail/1606256.html,"planned full-build: 350 mu, 9 hyperscale halls, 120,000 standard cabinets, 310 MW IT load, ~280k GPU cards; design capacity, not in service"
Ningxia hub (Zhongwei cluster),Zhongwei Western Cloud Base — all data centers,Zhongwei city / park (via press),dc_count,13,data center enterprises,2024-12-31,press (Securities Times 证券时报),https://stcn.com/article/detail/1606256.html,"13 DC enterprises introduced, 8 DC parks operational (incl. Amazon/NWCD, Meiligo); 2 GW green-power supply project; guaranteed tariff <=0.36 RMB/kWh"
Ningxia hub (Zhongwei cluster),"Meiligo Zhongwei data center (美利云, SZ: 000815)",Meiligo (SZ: 000815),narrative,n/a,,FY2025 (annual report disclosed 2026-04-23),press (Securities Times) summarising 2025 annual report,https://www.stcn.com/article/detail/3802556.html,"buildings E1, E3, C1 delivered to customers; B1, B3, C3 civil works complete; cloud/IDC revenue RMB 324 m (94.65% of revenue), GM 45.58%. Rack counts / utilisation NOT in this article (search snippets cite '15,000 racks in service, >70% 上架率' but that page was not fetched — unverified)"
Inner Mongolia hub (Horinger cluster),Horinger New Area 'China Cloud Valley' — all data centers,Horinger New Area administrative committee (via press),racks_planned,600000,racks,2025 target (article 2024-12-16),park committee statements quoted in press (Tencent News; same text on nmgwx.gov.cn),https://news.qq.com/rain/a/20241216A06QUH00,"2025 targets: 600,000 standard racks, 3 m servers, 84,000 P; end-2024 computing power 44,500 P; 35 projects; green power substitution 43%; tariff ~0.33 RMB/kWh. Built-rack count for 2024 not in this article (search snippet: 220,000 racks built / 1.5 m servers — unverified)"
Inner Mongolia hub (Horinger cluster),Horinger New Area 'China Cloud Valley' — all data centers,Horinger New Area administrative committee (via press),compute_pflops,44500,PFLOPS,2024-12,park committee statements quoted in press,https://news.qq.com/rain/a/20241216A06QUH00,total computing power end-2024
Inner Mongolia hub (Horinger cluster),China Telecom Cloud Computing Inner Mongolia Information Park (中国电信 和林格尔),China Telecom,racks_in_service,50000,racks,2025-05-14,press (China News Service Inner Mongolia) quoting China Telecom,https://www.nmg.chinanews.com.cn/news/20250514/49935.html,"~50,000 standard racks built, >RMB 4 bn invested, 1.14 EFLOPS; full plan 1,467 mu / 42 DC buildings / >100,000 racks / >1 m servers; article also cites a '90%' figure whose referent (utilisation) is ambiguous in extraction"
Inner Mongolia hub (Horinger cluster),"China Mobile Hohhot intelligent computing center (中国移动 呼和浩特智算中心, Horinger)",China Mobile,compute_eflops,6.7,EFLOPS,2024-04-29,press (Inner Mongolia Morning News via Sina) quoting China Mobile staff,https://finance.sina.com.cn/jjxw/2024-04-29/doc-inatncei1543887.shtml,"RMB 4.66 bn investment, 8 clusters, PUE 1.24 (2023), phased commissioning from Feb 2024; 'largest single liquid-cooled AI DC among global operators'; racks (759 per other coverage) not verified in fetched page"
Inner Mongolia hub (Horinger cluster),Agricultural Bank of China Horinger data center,Agricultural Bank of China,area_sqm,710000,sqm,2024-12-16,park committee statements quoted in press,https://news.qq.com/rain/a/20241216A06QUH00,"total planned 710,000 sqm; phase 1 209,000 sqm, 400,000 servers (context only; non-operator)"
"Inner Mongolia hub (Ulanqab, outside Horinger cluster proper)",Ulanqab city — all data centers,Ulanqab municipal / park statistics (via industry media),racks,260000,racks,2024-12,industry media (中国IDC圈) compiling Ulanqab municipal statistics — government-origin figure,https://www.idcquan.com/xw/203947.shtml,"standard racks BUILT (建成) city-wide, 2024; 36 data centres (33 AI) incl. Huawei, Alibaba, Apple, Kuaishou, VNET, GDS, UCloud"
"Inner Mongolia hub (Ulanqab, outside Horinger cluster proper)",Ulanqab city — all data centers,Ulanqab municipal / park statistics (via industry media),racks_in_service,190000,racks,2024-12,industry media (中国IDC圈) compiling Ulanqab municipal statistics — government-origin figure,https://www.idcquan.com/xw/203947.shtml,"standard racks in operation (投运) city-wide, 2024"
"Inner Mongolia hub (Ulanqab, outside Horinger cluster proper)",Ulanqab city — all data centers,Ulanqab municipal / park statistics (via industry media),utilisation_pct,73,%,2024-12,industry media (中国IDC圈) compiling Ulanqab municipal statistics — government-origin figure,https://www.idcquan.com/xw/203947.shtml,"city-wide 上架率 2024 (62% in 2023 on 173,000 racks built; 39% in 2022)"
"Inner Mongolia hub (Ulanqab, outside Horinger cluster proper)",Ulanqab city — all data centers,Ulanqab municipal / park statistics (via industry media),compute_pflops,61500,PFLOPS,2024-12,industry media (中国IDC圈) compiling Ulanqab municipal statistics — government-origin figure,https://www.idcquan.com/xw/203947.shtml,"~61,500 P total, >90% AI"
"Inner Mongolia hub (Ulanqab, outside Horinger cluster proper)",Ulanqab city — all data centers,Ulanqab municipal / park (via Inner Mongolia Daily),racks_signed,1050000,racks,2024-05-28,"press (Inner Mongolia Daily, republished by Xilingol govt)",https://www.xlgl.gov.cn/xlgl/zt/yhyshjxlglzxd/tszs/2024060716584819497/index.html,"signed (签约) rack scale >1.05 m; >RMB 100 bn investment; contracted pipeline, not built"
"Inner Mongolia hub (Ulanqab, outside Horinger cluster proper)",Ulanqab city — all data centers,Ulanqab municipal / park (via Science & Technology Daily),compute_pflops,172000,PFLOPS,2026-08 (H1 2026),press (科技日报),https://www.stdaily.com/web/gdxw/2026-08/20/content_567111.html,"computing power in operation 17.2万P, +112% YoY, >95% AI; >100 DC projects landed; signed racks >5 m; H1 2026 electricity consumption +89.5% YoY"
Chengdu-Chongqing hub (Chongqing cluster),Liangjiang Shuitu International Data Port — all data centers (两江水土国际数据港),Chongqing municipal government (news portal),racks,32000,racks,2024-05-27,government news portal (cq.gov.cn) — government-origin figure,http://www.cq.gov.cn/ywdt/jrcq/202405/t20240527_13236651_app.html,"32,000 racks / 480,000 servers at the Shuitu port; Chongqing-wide 2 hyperscale + 11 large + 40 edge DCs"
